粵語,標準漢語1,標準漢語2
救命圈,救生圈,
舊,過去的,過時的
舊時,從前,以前
舊底,從前,舊時
舊招牌,老字號,老招牌
舊年,去年,
舊日,以前,從前
勼,混合,攙雜
勼亂,攙雜,混合
溝渠,水溝,
溝渠鴨,歇後語,
求其,湊合著,對付著
球衣,運動衣,
球鞋,(不是粵方言詞),
球票,球賽門票,
球場,(不是粵方言詞),
球拍,(不是粵方言詞),
舅爺,(沒有對應詞彙),
舅爺仔,稱新娘的弟弟,
舅婆,(沒有對應詞彙),
舅父,舅舅,
舅奶奶,丈夫的舅母,
舅舅,舅父,
舅母,(沒有對應詞彙),
舅老爺,丈夫的舅父,
舅少,(沒有對應詞彙),
叩頭,(不是粵方言詞),
扣起,扣,扣除
扣頭,回扣,
扣酒,(沒有對應詞彙),
扣針,別針,(裝飾用的)花別針
扣佣,拿回扣,
釦,蝦蟆的胃,
勾,招引,引
勾三擸四,(沒有對應詞彙),
,子,
,探取,
骨,一種縫紉法,
牛扒,牛排,
牛孖筋,牛蹄筋,
牛仔,小牛,牛犢子
牛仔褲,(沒有對應詞彙),
牛仔布,(沒有對應詞彙),
牛皮膠,(沒有對應詞彙),
牛頭褲,中式短褲,短褲
牛柳,牛外脊,牛裏脊
牛高馬大,五大三粗,身材高大
牛腩,牛腰部的囊肉,
牛心柿,(沒有對應詞彙),
牛板筋,牛筋,
牛腱,牛腱子,
牛蠅,牛虻,
牛膀,牛胰臟,
牛公,公牛,
牛雜,牛雜碎,
牛笠,牛嘴罩,
牛一,指生日,
牛百葉,生的蜂巢胃,
牛白腩,白腩,
牛樴,拴牛的木橛子,
藕,蓮花的地下莖,
吽,愚笨,頭腦不靈敏
,看上,想要
機會,等候時機,
路,找破綻,
喉,嗓子,
喉底,鄉音,口音
喉嘴,氣門心,氣門
喉腩,胃口,
喉欖,喉結,頦勒嗉
喉,吃東西狼吞虎咽,
喉鉗,管鉗子,
喉嚨,(不是粵方言詞),
喉急,心急,
喉核,喉結,
喉轆,消防水龍,
猴,垂涎,覬覦
口花花,言語輕佻,愛說俏皮話
口椏角,嘴角,
口啞,回答不出,啞口無言
口多多,多嘴多舌,話多
口疏,嘴快,好傳話
口果,(作為零食的)涼果,
口齒,信用,承諾
口唔對心,口是心非,
口乖,嘴甜,嘴乖
口氣,(不是粵方言詞),
口在路邊,逢人問路,鼻子底下有嘴(俗)
口臭,說話不對頭,
口數,口算,心算
口水多過茶,(形容)大耍嘴皮子,話多
口水尾,唾沫星子,
口甜舌滑,嘴甜,會哄人
口痕,嘴癢,雜嘴子
口痕友,(沒有對應詞彙),
口唇,嘴唇,
口面,面容,面貌
口軟軟,口氣軟,不敢強硬
口硬,口氣強硬,嘴硬
口輕,輕諾,說了話不算
口響,誇誇其談,自誇
口爽,順口,
口同鼻詏,(喻)無必要的較勁,(喻)無謂的頂牛
口盅,漱口杯,
口,零食,小食品
口,不善言辭,講得不清楚
口密,嘴嚴,不愛說話
口,欲言又止,啞口無言
口吃,結巴,
口拙,不善言辭,無口才
口擘擘,氣喘,氣喘吁吁
口角,(不是粵方言詞),
厚身,厚實,厚
厚沓沓,(沒有對應詞彙),
候鑊,廚師,廚子
後底,後娘,後母
後底婆,後妻,填房
後尾,後來,後尾兒
後尾,後腦勺兒,
後手,子孫後代,
後土,(沒有對應詞彙),
後厚,(指)有福氣,(指)有家底
後薄,(指)沒福氣,福薄
後便,後頭,後面
後生,跟班,年輕
後生仔女,青年男女,
後生細仔,小青年,年紀輕輕
後生女,少女,青年女子
後日,後天,
後腳,(動物的)後足,後腳兒
鱟魚,海鱟,
甌,小木碗,
嘔,嘔吐,
嘔浪,暈船,
漚,(不是粵方言詞),
漚霉,(不是粵方言詞),
漚麵豉,(不是粵方言詞),
漚年,(不是粵方言詞),
漚冬,(不是粵方言詞),
熰,焞,
熰火,(沒有對應詞彙),
悠悠閑閑,悠然,不慌不忙
悠游,(不是粵方言詞),
摳,(不是粵方言詞),
憂,(不是粵方言詞),
由得佢,隨他去,算了吧
油,食用油,
油,潤滑油,工業用油
油渣車,柴油機車,
油渣,油渣兒(口),
油炸鬼,(不是粵方言詞),
油榨,(沒有對應詞彙),
油紙遮,油紙傘,
油,油渣,油餅
油器,(沒有對應詞彙),
油漏,(沒有對應詞彙),
油布衫,(沒有對應詞彙),
油鋪,(沒有對應詞彙),
油潞,油提子,
油,(沒有對應詞彙),
油嘴,嘴饞,
油水,(不是粵方言詞),
油淰淰,油汪汪的,
油占米,(沒有對應詞彙),
油潤,有光澤,滑潤
油瓶仔,帶犢兒(俗),
油香餅,(沒有對應詞彙),
油盪口,油嘴滑舌,
油光帽,(沒有對應詞彙),
油,油污,髒貌
油,(沒有對應詞彙),
油麥菜,野菜,
油,油污點,油漬
油,哈喇(口),哈喇味兒
油勺,(不是粵方言詞),
油角,(沒有對應詞彙),
柔喉,(沒有對應詞彙),
郵差,(不是粵方言詞),
郵政局,(不是粵方言詞),
游車河,乘車兜風,
游河,游玩,
游埠,(沒有對應詞彙),
游游閑,游手好閑,
游學,(不是粵方言詞),
游水,(不是粵方言詞),
魷魚,一種海魚,槍烏賊
有把炮,有把握,有能力
有挐□,有瓜葛,有牽連
有拿,有把握,十拿九穩
有手,有東西做抵押,
有野,(特指)有本事,了不起
有多,有富餘,有剩餘
有,有了,懷孕了
有肚,懷孕,有孕
有所謂,決心去做某事,
有衣食,命運好,生活好
有符法,(喻)有計謀,(喻)策略
有古怪,有情況,(事情)可能有變化
有大山挨,有所恃,有靠山
有挨有,有靠山,有後臺
"有雞仔唔管,管麻鷹","該管的不管,不該管的倒去管",
有鬼,有個鬼,有個屁(俗)
有理冇理,不管它,
有幾何,能有幾回,不是經常的
有幾手野,有點本事,有點技能
有喜,(不是粵方言詞),
有氣冇碇,有氣沒地方發泄,
有氣冇力,有氣無力,
有交易,有交道可打,可與之打交道
有頭有主,有主人,有主兒
有頭有尾,有始有終,
有頭冇尾,有始無終,虎頭蛇尾
有仇口,舊時指有仇,
有口齒,有信用,不食言
有補,(沒有對應詞彙),
有寶,了不起,有本領
有冇,有沒有,
有路數,(不是粵方言詞),
有料,有學問,有才幹
有料到,有內容,有進展
有朝冇晚,晝短夜長,
有腰骨,(沒有對應詞彙),
有心,謝謝,
有彈有讚,有貶有褒,
有紋路,有條理,有分寸
有分數,心中有數,胸有成竹
有份,有自己一份,
有陣時,有時候,
有身己,懷孕,有孕
有神冇氣,有氣無力,無精打采
有根,有來歷,有根據
有癮,(對某事)有興趣,上癮
有肝膽,披肝瀝膽,
有面,有地位、名望,有臉面
有聲氣,有消息,有門兒
有頸冇碇吊,(沒有對應詞彙),
有定,當然有,肯定有
有剩,有剩餘,
有傾有講,有說有笑,
有型有款,款式很好,
有兩手,有兩下子,有本事
有兩度,有本領,有辦法
有腸肚,有心計,有頭腦
有相睇,由貌看出,
有樣學樣,照樣兒學,見誰學誰
有行,有聲氣,有門兒
有風駛盡,(沒有對應詞彙),
有辣有唔辣,(沒有對應詞彙),
有殺冇賠,喻不容侵犯,
有凸,有富餘,有剩餘
有一牌,得相當長的時間,
有骨,帶刺兒,
有術,有辦法,
有得,有挽回的可能,
有數,有便宜可佔,
有落,(不是粵方言詞),
幼稚園,(不是粵方言詞),
幼糠,細米糠,
幼滑,又細又嫩,細膩
又話,不是說嗎,
又呢又□,又這樣又那樣,
又試,又,
又點話,又有什麼問題,
又乜又物,又這個又那個地,
右手便,右手的這邊,右邊
右口魚,(沒有對應詞彙),
柚,(不是粵方言詞),
柚皮,柚子皮,
柚青,(沒有對應詞彙),
煲,鍋,
煲仔,小型的扁沙鍋,
煲仔飯,用小沙鍋煮的飯,
煲,用沙鍋燒煮,
煲冇米粥,說沒影兒的事,
煲腍,煮爛,
煲針,煮針,
煲藥,熬中草藥,
煲粥,熬粥,
褒獎,誇贊,誇獎
保你大,服了你了,你真行
補,打補靪,
補開,相形之下,比較
補數,彌補,補上欠的人情
補衫婆,縫窮婦,
補銀水,(沒有對應詞彙),
寶貴,看重,疼愛
寶貝,心肝寶貝,珍視
寶號,貴號,
寶燭,(沒有對應詞彙),
布拉腸粉,拉腸,
布頭布尾,布頭兒,碎布
布碎,碎布片,碎布
布辦,布樣子(樣品),
報紙佬,賣報人,報販子
報仇,(不是粵方言詞),
報銷,(不是粵方言詞),
報君知,(沒有對應詞彙),
報生,(沒有對應詞彙),
報應,(不是粵方言詞),
部,(不是粵方言詞),
捗,用棍打,
菢,(不是粵方言詞),
菢竇雞,(沒有對應詞彙),
暴冷暴熱,(不是粵方言詞),
暴發戶,(不是粵方言詞),
簿,紙本子,簿子
鋪,鋪設,鋪開
鋪排,排場,
浮,漂浮,
菩薩,泛指佛和某些神,
葡提子乾,葡萄乾,
蒲桃,(不是粵方言詞),
蒲桃公,(不是粵方言詞),
蒲團,(不是粵方言詞),
抱,(不是粵方言詞),
抱子金蘭,(沒有對應詞彙),
抱歉,(不是粵方言詞),
抱腳,(不是粵方言詞),
泡,泡沫,
鋪,店鋪,
鋪位,店鋪所佔的位置,
鋪頭,小店鋪,商店的泛稱
鋪面,鋪子的門面,
毛,(沒有對應詞彙),
毛豆,(不是粵方言詞),
毛衫,羊毛衫的簡稱,
毛巾褸,(沒有對應詞彙),
毛巾恤,毛巾布襯衫,
毛管,毛孔,
毛管戙,起雞皮疙瘩,
毛冷,毛線,
毛鬙鬙,毛茸茸,
無他,沒有別的緣故,沒什麼
無疑,雖然,
無謂,(不是粵方言詞),
無聊無賴,無聊,百無聊賴
無拘無管,沒拘束,很自由
無端生有,無中生有,
無情雞,(沒有對應詞彙),
摹紅,(不是粵方言詞),
模,(不是粵方言詞),
冇,沒有,無
冇挐,沒有瓜葛,沒有關連
冇拿,沒有把握,沒抓撓兒
冇瓦遮頭,頭上無片瓦,無立錐之地
冇下落,心中無落,無聊賴
冇話頭,沒什麼可說,不值一說
冇野,沒事兒,沒什麼
冇野口,(沒有對應詞彙),
冇錯,沒錯兒,
冇呢支歌唱,"過了這個村兒,再沒這個店兒",
冇時,無時,沒有一刻
冇時閑,(沒有對應詞彙),
冇事,沒出事兒,沒問題
冇衣食,(沒有對應詞彙),
冇符,沒法子,無計可施
冇大冇細,不分老幼尊卑,沒大沒小
冇奈何,奈何不得,無可奈何
冇米粥,(沒有對應詞彙),
冇睇頭,不好看,沒看頭
冇細藝,指閑坐無事,無聊賴
冇計,不算什麼,不論
冇壞,沒有壞處,
冇尾飛砣,(沒有對應詞彙),
冇釐,一點也沒有,
冇幾耐,沒多久,不大一會兒
冇交易,沒有買賣關係,
冇頭烏蠅,沒頭蒼蠅,
冇走趲,沒有鬆動的時間,
冇口話佢,(沒有對應詞彙),
冇口齒,不講信用,說了不算
冇有怕,沒什可怕的,無所畏懼
冇譜,離譜,不合常理
冇腦,沒腦子,沒心眼兒
冇數為,划不來,不合算
冇料,沒學問,沒真本事
冇橋,沒法子,沒招兒
冇腰骨,靠不住,光說不做
冇膽匪類,(沒有對應詞彙),
冇心機,沒興致,沒勁
冇心肝,指不用心,
冇眼界,沒見識,缺乏常識
冇眼睇,不忍看,看不下去
冇紋路,沒正經,吊兒郎當
冇份,(沒有對應詞彙),
冇斤兩,沒本事,
冇人冇物,孤獨,孤零零一人
冇癮,沒勁,掃興
冇面,沒臉,
冇本心,沒良心,
冇纊,(沒有對應詞彙),
冇情,無情,
冇行,沒門兒,沒希望
冇皇管,(沒有對應詞彙),
冇傝,不懂事,沒正經
冇乜,沒有什麼,
冇乜野,沒什麼,沒事兒
冇乜滯,幾乎沒有,沒有多少
冇乜好死,不得好死,
冇乜點,沒什麼特別,
冇乜兩句,沒二話,談得來
冇蝨搵蝨撓,沒事找事,自找麻煩
冇得頂,不可超越,利害
冇得,不可挽回,沒有希望
冇得彈,無可挑剔,沒說的
冇得傾,無話可說,沒有什麼可談的
冇得講,無話可說,沒商量
冇食頭,沒吃頭,
冇落,沒有下落,沒兒
冇解,沒道理,不講理
冇氣冇力,軟弱無力,有氣無力
冇來由,沒有根據,
冇收,沒辦法,沒轍
冇手尾,(做事)有頭無尾,(做事)有始無終
冇心裝載,心不在焉,
冇陰功,缺德,造孽
舞,(不是粵方言詞),
舞馬留,(不是粵方言詞),
舞手弄腳,(不是粵方言詞),
舞龍,(不是粵方言詞),
帽,(不是粵方言詞),
帽檐,(不是粵方言詞),
帽襻,帽帶,
帽碗,(沒有對應詞彙),
帽菂,(沒有對應詞彙),
帽殼,沒有邊的竹帽,
霧水,露水,
霧水夫妻,露水夫妻,一夜夫妻
霧水妾侍,(沒有對應詞彙),
刀字邊,(漢字偏旁)立刀兒,
刀仔,小刀,(舊時指)短刀
刀嘴,刀尖,
刀片,(不是粵方言詞),
刀殼,刀鞘,
嘟,噘,
倒,傾倒,
倒瀉,倒撒了,
倒瀉籮蟹,手忙腳亂,
倒米,拆臺,破壞利益
倒米壽星,(沒有對應詞彙),
倒霉,(不是粵方言詞),
倒頭,死亡,
倒頭經,(沒有對應詞彙),
倒,幫倒忙,
倒囊,體弱而虛胖,
倒瓤,婁,
倒瓤冬瓜,繡花枕頭,
搗蛋,(不是粵方言詞),
賭,賭博,泛指爭勝負
賭仔,(沒有對應詞彙),
賭氣,因不滿意而任性,
賭棍,(沒有對應詞彙),
賭番攤,參與番攤的賭博,
賭館,(沒有對應詞彙),
賭場,(沒有對應詞彙),
賭檔,賭博攤子,
到,到達,達到
到加一,(沒有對應詞彙),
到時到候,到時候,
到位,到達目的地,
到死,(沒有對應詞彙),
到其時,到時候,
到會,(沒有對應詞彙),
到喉唔到肺,吃得貴而不實在,
到步,(沒有對應詞彙),
倒刺,(不是粵方言詞),
倒豎,倒立,倒栽蔥
倒鬚,釣魚上的倒,
倒吊沙煲,(指)窮得無米下鍋,
倒吊荷包,(沒有對應詞彙),
倒吊眼眉,眉梢向上吊起,
倒褪,退後,倒退
倒汗水,(沒有對應詞彙),
倒轉,(不是粵方言詞),
倒轉頭,顛倒,
倒牙,地包天,
毒蟲,打蟲子,打蟲
度,度數,程度
度,尺寸,
度野,元,塊錢(俗稱)
道士,道教徒,
道友,(指)吸鴉片煙者,吸毒者
道歉,表示歉意,
渡,(不是粵方言詞),
渡頭,(不是粵方言詞),
蠹蟲,蛀蟲,
逃學,(不是粵方言詞),
桃,(不是粵方言詞),
徒弟,(不是粵方言詞),
徒孫,(不是粵方言詞),
徒塞,重徒孫,
淘,泡,
淘古井,(沒有對應詞彙),
淘米,(不是粵方言詞),
圖畫,(沒有對應詞彙),
圖章,(沒有對應詞彙),
圖則,圖紙(建築業),
土字邊,(漢字偏旁)土字旁,提土旁兒
土地,土地爺,
肚餓,餓,
肚屙,瀉肚,拉肚子
肚臍,(不是粵方言詞),
肚,肚子脹,肚脹
兔,(不是粵方言詞),
兔嘴,缺唇,兔唇
套,(不是粵方言詞),
套褲,(不是粵方言詞),
腦後見腮,(沒有對應詞彙),
腦筋,思想意識,
,鍋底上的黑煙子,
撈家,(不是粵方言詞),
撈過界,(不是粵方言詞),
撈唔埋,(不是粵方言詞),
撈唔起,(不是粵方言詞),
撈仔,(不是粵方言詞),
撈世界,(不是粵方言詞),
撈起,(不是粵方言詞),
撈賭,(不是粵方言詞),
撈到化,(不是粵方言詞),
撈女,(不是粵方言詞),
撈水蟹,(不是粵方言詞),
撈水尾,(不是粵方言詞),
撈偏門,(不是粵方言詞),
撈生意,(不是粵方言詞),
撈滑,(不是粵方言詞),
撈得埋,(不是粵方言詞),
攎,混合,拌和
攎麵,拌麵,
勞煩,煩勞,麻煩
嘮氣,(不是粵方言詞),
嘮嘈,(不是粵方言詞),
蘆橘,枇杷果,
爐,爐子,
爐灰,專指柴灰,
爐膽,(沒有對應詞彙),
佬,(不是粵方言詞),
老花眼,(不是粵方言詞),
老爺,(沒有對應詞彙),
老野,老東西,老家伙
老婆,(不是粵方言詞),
老火靚湯,久煮的好湯,
老二,警察,
老虎,母老虎,
老鼠貨,後門兒貨,賊贓
老大婆,老大娘,
老太,老太太,
老太爺,(沒有對應詞彙),
老太婆,(不是粵方言詞),
老柴,老家伙(貶義),老東西
老泥,人身上的泥垢,身體污垢
老細,財東,老板
老脾,脾氣,
老來嬌,老來俏(俗),
老外,老丈人(俗),岳父
老豆,父親,
老手,(不是粵方言詞),
老牛聲喉,形容破鑼嗓子,
老牛精,大老粗兒(俗),
老偶,老年的,
老友,老朋友,互相要好
老友鬼鬼,老朋友,
老母,母親,媽媽
老到,(不是粵方言詞),
老土,土包子,土氣的人
老早,(不是粵方言詞),
老祖,先人,祖先
老表,表兄弟,表姐妹
老表鬼鬼,老表親,
老少平安,(沒有對應詞彙),
老襟,連襟,連襟兒
老番,洋人,洋鬼子
老旦,(不是粵方言詞),
老襯,易受騙者,笨伯
老奀茄,人小心眼兒多,
老人成嫩仔,越活越年輕,返老還童
老練,(不是粵方言詞),
老千,江湖騙子,騙子
老倌,男戲子,男伶
老更,更夫,
老坑,老頭子,老家伙
老定,鎮定,沉得住氣
老成,(不是粵方言詞),
老薑,比喻利害的人,
老鄉,土頭土腦,土包子
老懵懂,老糊塗,老且糊塗者
老公,丈夫,
老辣,老練,早熟
老實,誠實,守規矩
老頇頇,(沒有對應詞彙),
老伯,老大爺,
老積,老成,老氣
鹵,(不是粵方言詞),
鹵味,(沒有對應詞彙),
鹵水,(沒有對應詞彙),
路軌,鐵軌,
路數,門路,機會
潞,(沒有對應詞彙),
露骨,說話不含蓄,狡猾
租,(不是粵方言詞),
糟騭,不愛惜,摧殘
早,早點休息,
早晨,早安,早上好
早晨流流,大清早的,大早晨的
祖先位,(沒有對應詞彙),
祖先燈,(沒有對應詞彙),
,灶,
基,灶臺,
頭,上,灶頭
君,王爺,灶王爺
君奶奶,王爺的妻子,
造,(不是粵方言詞),
做,製作,幹
做禡,(沒有對應詞彙),
做磨心,裏外不是人,
做唔來,不會做,
做主,當頭兒,領頭兒
做埋,做完,做好
做低,幹掉,打死
做世界,搶東西,土匪打家劫舍
做龜公,當王八,戴綠帽
做鬼做馬,做不成,
做忌,(沒有對應詞彙),
做,當囮子,當托兒(口)
做醜,充當反對者,
做手,做派,做工
做手信,做探親用的禮物,
做手腳,(不是粵方言詞),
做到氣咳,忙得喘不過氣來,
做數,做賬,整理賬目
做好做醜,"又做好人,又做歹人",
做驢仔,賣苦力,替人服役
做廚,當廚子,
做膽,當頭兒,做主
做針黹,做針線活兒,做女紅
做人,(不是粵方言詞),
做餅師傅,(沒有對應詞彙),
做正行,幹正當行業,有正當職業
做槍,(沒有對應詞彙),
做莊,(不是粵方言詞),
做莊口,(沒有對應詞彙),
做冬,過冬至節,
做東,(不是粵方言詞),
做工夫,幹活兒,
做乜,為什麼,
做乜家伙,做什麼,
做百囉,做百天,
做得,行,可以
做得來,會做,有能力做
操,體操,
粗野,(沒有對應詞彙),
粗口,髒話,說話不乾淨
粗口爛舌,愛說粗話,說話滿口髒字
粗鹽,大粒的生鹽,大鹽
粗身大勢,(沒有對應詞彙),懷孕
粗,粗穿(口),
操,操練,訓練
嘈,喧嘩,吵鬧
嘈耳,吵耳朵,
嘈吵,吵鬧,喧嘩
嘈嘈閉閉,吵吵鬧鬧,
嘈喧巴閉,鬧哄哄,吵吵鬧鬧
嘈喧天,鬧翻天,
嘈生晒,亂吵吵,吵成一片
取耳,挖耳垢,掏耳
草,草,
草花頭,草字頭,
草菇,(不是粵方言詞),
草龜,金龜,
草披,草地,
草皮,帶草的碗狀泥塊,
草頭王,土匪頭,一方惡霸
草羊,山羊,
草龍,草蜥,
儲,儲存,攢積
儲錢,存錢,攢錢
醋,酸味調味品之一,
醋味,指人的醋勁兒,
醋埕,裝醋的子,
醋種,釀製醋用的引子,
燥,乾燥,燥熱
燥熱,(人體)上火,
躁暴,性急,
酥,(不是粵方言詞),
酥皮,點心皮,
繅繭,繅蠶絲,
臊,嬰兒,
臊,腥膻,乳臭
臊蝦仔,嬰兒,小孩
臊,形容羊肉膻氣,
蘇梅醬,(沒有對應詞彙),
蘇州過後冇艇搭,(喻)失掉時機,(喻)錯過機會
騷擾晒,太打攪了,添麻煩
鬚,像鬍鬚之物,
鬚,鬍子,
鬚刨,刮鬍刀,
鬚口,(沒有對應詞彙),
數碟底,(不是粵方言詞),
數白欖,(不是粵方言詞),
素馨,(沒有對應詞彙),
素月,素月餅,
掃,塗刷,
掃,刷帚,掃帚
掃把,(不是粵方言詞),
掃把星,彗星,掃帚星
掃地,指清掃工人,
掃興,(不是粵方言詞),
塑膠,塑料,
數尾,(不是粵方言詞),
膏,(不是粵方言詞),
糕,(沒有對應詞彙),
糕粉,(沒有對應詞彙),
高買,三隻手,偷東西
高大衰,傻大個兒,
高竇,看不起人,擺架子
高竇貓,(沒有對應詞彙),
高身,邊沿高的,
高鞋,高跟鞋,
高興,熱鬧,
高戙戙,高高的,
高壓煲,高壓鍋,壓力鍋
高腳,有高腿的,
高腳鷯哥,指個子高的人,大高個兒(口)
高腳七,高個子,大高個兒(口)
膏,(不是粵方言詞),
膏蟹,(不是粵方言詞),
告假,(不是粵方言詞),
告地狀,(沒有對應詞彙),
告枕頭狀,告枕邊狀,吹枕邊風
告狀,(不是粵方言詞),
告發,(不是粵方言詞),
告白,廣告,
摮,夠,伸長手去取
,晃動,用力搖動
簽,搖神簽,
色仔,搖色子,
蒿味,(不是粵方言詞),
毫,毛,角
毫子,毛,角
毫銀,(沒有對應詞彙),
豪氣,(不是粵方言詞),
蠔,牡蠣,
蠔豉,乾牡蠣肉,
蠔油,一種調味料,
蠔塘,(沒有對應詞彙),
好傢伙,(沒有對應詞彙),
好話,好說,
好話唔好聽,說句不好聽的,
好話,對了,沒錯兒
好野,好東西,好
好,(沒有對應詞彙),
好過,好,
好市,買賣好,暢銷
好衣好,衣冠楚楚,穿戴整齊
好衣食,樂善好施,好幫助人
好耳,耳朵好,聽覺靈敏
好意頭,吉利,好兆頭
好唔掂,很不好過,遇到困難
好鬼,非常,很
好鼻,嗅覺靈敏,
好眉好貌,外表好看,眉目清秀
好眉好貌生沙蝨,繡花枕頭,驢糞球兒外面光(俗)
好地地,無端地,
好死,好事,
好幾,幾個,若干
好氣,耐心的談話,
好氣色,容光煥發,氣色好
好耐,長時間,很久
好彩,虧得,幸虧
好醜,好歹,
好手尾,善始善終,
好手腳,手腳乾淨,不偷不摸
好好睇睇,很像樣兒,很體面
好少何,很少,少有
好膽,有膽量,膽子大
好心,(不是粵方言詞),
好心機,很有耐性,很專心
好飲得,酒量大,
好返,好轉,
好,很好,很妙
好眼,視力好,
好眼界,視力好,看得準
好閑,沒什麼,沒關係
好晏,很遲,
好,睡得熟,睡得好
好欿,渴望,非常想
好人有限,不是什麼好人,
好辯駁,能說會道,善辯
好天,晴天,好天兒
好更夜,(沒有對應詞彙),
好行,慢走,好走
好命水,好命運,命好
好聲,小心,當心
好清,痊愈,
好景,生活好,日子好過
好傾,能聊,健談
好唱口,得意而話多,
好相與,人緣好,平易近人
好相就,好說話兒,樂於助人
好傷,夠嗆,後果不佳
好樣,好看,漂亮
好得滯,太好了,好到極點
好力,力氣大,
好色水,衣打扮光鮮,
好腳頭,能帶來好運,
好福厚,相貌敦厚,有福相
好使,(沒有對應詞彙),
好飲好食,愛吃喝,喜大吃大喝
好傾好講,喜歡說話,愛說說道道
好食懶飛,好吃懶做,
號,舊時軍隊的制服,
號筒,(舊時指)喇叭,(舊時指)軍號
號角,大螺角,
表,(不是粵方言詞),
錶,(沒有對應詞彙),
錶袋,(沒有對應詞彙),
錶蓋,錶蒙子,
錶墜,(沒有對應詞彙),
錶面,錶盤,
錶鏈,錶內的發條,繫錶的鏈子
錶菂,(沒有對應詞彙),
錶肉,錶瓤,錶瓤兒(口)
參,綁票兒,綁架人質
標,(不是粵方言詞),
標會,(不是粵方言詞),
表,(不是粵方言詞),
表錯情,(沒有對應詞彙),
表少,(沒有對應詞彙),
裱,(不是粵方言詞),
裱畫鋪,(不是粵方言詞),
摽,(不是粵方言詞),
嫖,玩妓女,
嫖舍,嫖妓女,
嫖友,嫖客,
票,(不是粵方言詞),
票尾,(沒有對應詞彙),
苗,(不是粵方言詞),
描紅,描紅模子,
瞄,(不是粵方言詞),
藐,撇(嘴),
藐嘴藐舌,(沒有對應詞彙),
妙品,精巧,手藝高
妙想天開,異想天開,
廟祝,(不是粵方言詞),
刁喬扭擰,左右刁難,彆扭
丟架,出醜,丟人
丟書包,掉書袋,
丟眼色,(不是粵方言詞),
屌,肏,性交
屌那媽,他媽的,
吊尾,盯梢,尾隨
吊味,調味,提味
吊起來賣,(不是粵方言詞),
吊渠,吊槽,
吊籃,(沒有對應詞彙),
吊門桔,瘦子,瘦猴兒(俗)
吊頸,上吊自殺,上吊
吊帳,圓頂蚊帳,
吊骨,吊腳,
掉,扔,拋棄
掉臂,甩胳膊,
調轉,轉過來,互換、轉換位置
挑,(不是粵方言詞),
挑花,在十字布上花,挑花兒
挑紐耳,繚紐襻兒,紇縫(疙瘩)襟兒
挑欖核,(沒有對應詞彙),
挑骨,(沒有對應詞彙),
挑腳,繚衣服的底邊,繚貼邊
雕,雕刻,
條氣唔順,這口氣兒不順,心中氣不平
條,舊時的長條肥皂,
條凳,長條板凳,
跳,躍起,一起一伏地動
跳大海,小兒游戲,
跳皮,(小兒)調皮,(小兒)淘氣
跳飛機,小兒游戲之一,
跳樓,大減價,大甩賣
跳槽,(沒有對應詞彙),
跳跳貢,跳來跳去,活潑貌
跳橡筋,跳皮筋兒,
跳跳紮,活潑,矯健
糶,賣出(糧食),
尿片,(小兒)尿布,褯子
尿急,急於小便,憋尿
尿急急,要小便的感覺,
尿積,尿,
鷯哥,鳥名,
镽,細長,
镽細,(人)小巧,窈窕
镽瘦,(人)瘦長,
敹口,適口,
撩,(不是粵方言詞),
撩,(不是粵方言詞),
撩牙,(不是粵方言詞),
撩是鬥非,(不是粵方言詞),
撩耳仔,(不是粵方言詞),
撩交,(不是粵方言詞),
撩雀竇,(不是粵方言詞),
撩促織,(不是粵方言詞),
潦草,(不是粵方言詞),
寮,(不是粵方言詞),
料,料想,
料,材料,配料(食物)
料兆,材料,配料
蕉,蕉類果實,
蕉蕾,(沒有對應詞彙),
招,(不是粵方言詞),
招架,(不是粵方言詞),
招紙,商標紙,
招呼,(不是粵方言詞),
招牌,(商店)牌匾,
招口舌,(不是粵方言詞),
招搖,(不是粵方言詞),
招人仇口,招惹仇恨,與人結仇
招郎入舍,招贅,
招積,刁鑽,
朝頭,早晨,
朝頭晚夜,一早一晚,
朝晚,一早一晚,
朝食晚洗,形容人懶,
照依,依照,
照住鼻哥去,向正前方去,
照計,按說,照理說
照辦煮碗,照樣再來一次,
照身櫃,(沒有對應詞彙),
照身鏡,大長鏡子,
照津,俗指照樣大吃,
照田雞,(沒有對應詞彙),
照樣,按照樣子,
照壁,影壁,
醮壇,(沒有對應詞彙),
醮棚,打醮時搭的棚子,
,嚼,大吃
鍬,,
潮氣,(不是粵方言詞),
潮州柑,(不是粵方言詞),
潮州粥,(不是粵方言詞),
消滯,消食,
消熱,(身體)退燒,(身體)退熱
燒過河衣,舊俗,
燒紙,舊俗,
燒衣,燒衣紙,
燒豬肉,烤豬肉,
燒賣,(沒有對應詞彙),
燒壞瓦,燒壞的瓦不平整,
燒味,燒烤食品的總稱,
燒酒,白酒,
燒青,(沒有對應詞彙),
燒骨,燒豬肉中的骨頭,
瀟湘,身材窈窕,身材苗條
小兒科,小事,易為之事
小氣,(不是粵方言詞),
小手,扒手,三隻手
小造,小年,
小心,(不是粵方言詞),
小,腹部兩側,軟肋
小人,(不是粵方言詞),
小便,(不是粵方言詞),
小腸氣,小腸疝氣,疝氣
少塊潤,少塊肝,
少少,一點兒,很少
少件得件,多一事不如少一事,
少,少爺,
少奶,少奶奶,
笑,(不是粵方言詞),
笑話,使人笑話,貽笑大方
