粵語,標準漢語1,標準漢語2
阿哥,兄,
阿姨,姨姨,
阿姑,小女孩子,
阿大,(沒有對應詞彙),
阿大,老大,
阿奶,(沒有對應詞彙),
阿跛,瘸子,跛子
阿仔,(沒有對應詞彙),
阿肥,胖子,肥胖者
阿妹,妹妹,
阿斗官,闊少爺,敗家子
阿頭,領頭者,頭目
阿壽,笨人,
阿舅,(沒有對應詞彙),
阿母,(沒有對應詞彙),
阿嫂,嫂子,
阿女,(沒有對應詞彙),
阿嬸,叔父之妻,
阿妗,(沒有對應詞彙),
阿崩,缺唇的人,豁唇的人
阿聲,先生,
阿丁,愚人,
阿公,外祖父,老爺
阿乜人,某某,
阿伯,伯伯,
阿督,(沒有對應詞彙),
阿叔,叔叔,
呀呀烏,最差,最次
瓜子口面,瓜子兒臉,
瓜子肉,指紅皮瓜子仁,
瓜仁,大的白瓜子,
瓜,死,
瓜老襯,死了,死
瓜得,死,
瓜直,伸腿兒了,蹬腿兒了
呱呱叫,瞎嚷嚷(口),
寡婆,寡婦,
寡仔,單身漢,
寡母婆,寡婦,
寡佬,(沒有對應詞彙),
寡淡,淡而無味,
寡公,(沒有對應詞彙),
寡瀎瀎,淡而無味,
掛意,掛念,掛心
掛住,掛念,掂念
掛爐鴨,(沒有對應詞彙),
掛單,到別人家寄食,
掛望,掛念,惦念
掛廊,(沒有對應詞彙),
挖,(不是粵方言詞),
話,言語,
話,言語,方言
話之佢,管他呢,
話是偈,(某人)說的,
話唔埋,說不定,說不準
話唔定,說不定,說不準
話頭唔醒尾,遲鈍,不機靈
話頭醒尾,舉一反三,善解人意
話三話四,不講老實話,淨說不邊際的話
話中,說對了,
話乜話物,推三推四,閃爍其詞
畫,(不是粵方言詞),
畫眉,(不是粵方言詞),
啤酒,(不是粵方言詞),
觱,哨子,
啤牌,撲克牌,
,背負,
凳仔,指過生日,
哆,裂開口子,開綻
嗲,嬌氣,
離奇,古怪,難看
離氣,匆忙而狼狽,
離咁氣,匆匆忙忙,狼狽
遮,傘,
遮柄,傘桿兒的尖端,
遮骨,傘的骨架,傘枝
遮,擋,
姐姐,(不是粵方言詞),
姐姐噉手,(指)不會幹活兒,
姐夫,(不是粵方言詞),
借頭借路,藉端,藉口
借尿遁,(沒有對應詞彙),
借水遁,乘機會溜走,
蔗轆,(不是粵方言詞),
車呔,車輪的內帶,
車仔,人力車,黃包車
車,軸線,
車葉,螺旋槳,
車轆,車輪子,
車大炮,胡扯,吹牛皮
車腳,車錢,
斜,不正,斜著
斜哩眼,(沒有對應詞彙),
斜襟衫,斜領衣,
扯,拉扯,
扯瘕,哮喘,
扯鼻鼾,打鼾,打呼嚕
扯皮條,(沒有對應詞彙),
扯頭纜,牽頭,帶頭
扯,介紹,搭橋
扯公仔,拉線木偶人,提木偶
扯風,通風,
扯風箱,拉風箱,
賒數,(不是粵方言詞),
賒得過,(不是粵方言詞),
蛇皮袋,尼龍編織袋,
蛇仔,(沒有對應詞彙),
蛇頭鼠眼,獐頭鼠目,賊眉鼠眼
蛇佬,(沒有對應詞彙),
蛇王,懶蟲,懶骨頭
蛇殼,(沒有對應詞彙),
捨得,(不是粵方言詞),
寫字,(不是粵方言詞),
寫契,(不是粵方言詞),
寫單,(不是粵方言詞),
寫真,(不是粵方言詞),
瀉,溢出,灑出
社壇,社神所在,
社公,社神,
卸車,(不是粵方言詞),
卸貨,(不是粵方言詞),
卸膊,(沒有對應詞彙),
,的,
奇離,古怪,難看
茄醬,西紅柿醬,
茄汁,西紅柿汁,
騎,兩腿跨坐,
騎籬,(沒有對應詞彙),
騎樓底,(沒有對應詞彙),
騎牛搵馬,騎馬找馬,(沒有對應詞彙)
騎劫,打劫,搶劫
騎膊馬,(沒有對應詞彙),
椰子,椰樹的果實,
椰衣,(沒有對應詞彙),
椰水,(沒有對應詞彙),
椰汁,(沒有對應詞彙),
椰殼,椰子的硬殼,
椰肉,(沒有對應詞彙),
爺爺,祖父(面稱),
野仔,私生子,
野雞,山雞,
野味,(沒有對應詞彙),
野貓,野生的貓,
野水鴨,野鴨子,野鴨
惹屎上身,惹一身臊,招來麻煩
惹是惹非,招惹是非,惹是生非
,東西,物件
夜,(不是粵方言詞),
夜麻麻,深夜,夜裏很晚
夜鬼,夜貓子,
夜游鶴,池鷺,
夜盜蟲,(沒有對應詞彙),
夜晚,(不是粵方言詞),
夜船,(沒有對應詞彙),
夜冷,二手貨,便宜貨
夜冷貨,拍賣的貨物,
夜工,夜班,
夜學,夜校,
撝,咧開(嘴),裂開(口子)
撝身,(布匹)鬆,稀疏
多,少,
哆,話多,饒舌
唾,吐,
,吐(無聲的),
,大頭舌,
朘,小雞兒(俗),
,話多,喋喋不休
聲,話多,嘰嘰喳喳
杵,鏟,
瀡,滑動,
瀡板,小孩玩的滑梯,
鋸,鋸子,
鋸牙,鋸齒,
鋸頸,自刎,
瘸,肢體麻木,僵直不能動
紶紶貢,(沒有對應詞彙),
靴,靴子,
聲,水初沸的聲音,
譁,眾人起哄,喝倒彩
波,球,
波羅雞,(沒有對應詞彙),
波羅蓋,膝蓋骨,膝蓋
波鞋,球鞋,
波樓,桌球房,
波帽,鴨舌帽,
波衫,球衣,運動衣
波場,球場,
玻璃,(不是粵方言詞),
玻璃瓦,(沒有對應詞彙),
笸籮,(不是粵方言詞),
菠蘿,(不是粵方言詞),
菠蘿麻,一種粗麻布,
菠蘿釘,(沒有對應詞彙),
菠蘿蜜,(不是粵方言詞),
菠菜豆腐,(沒有對應詞彙),
簸,(沒有對應詞彙),
簸箕,(沒有對應詞彙),
樖,棵,株
婆媽,女傭,老媽子(輕聲)
婆,女人,娘兒們
